Date Time Hour Beginning,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout
2022-01-01 12:00:00 AM,47043.0,7583.667,13989.829,663.293,14653,122,298.0
2022-01-01 01:00:00 AM,47043.0,7765.0,14103.371,663.293,14766,664,298.0
2022-01-01 02:00:00 AM,47043.0,7765.0,14220.801,668.521,14889,322,299.0
2022-01-01 03:00:00 AM,47043.0,7765.0,14077.338,685.7,14763,038,298.0
2022-01-01 04:00:00 AM,47043.0,7765.0,14020.863,667.7,14688,563,298.0
2022-01-01 05:00:00 AM,47043.0,7765.0,13919.016,657.944,14576,96,298.0
2022-01-01 06:00:00 AM,47043.0,7765.0,13848.942,706.311,14555,253,299.0
2022-01-01 07:00:00 AM,47043.0,7765.0,13985.818,706.311,14692,129,299.0
2022-01-01 08:00:00 AM,47043.0,7765.0,14144.854,706.311,14851,165,302.0
2022-01-01 09:00:00 AM,47043.0,7765.0,14193.618,706.311,14899,929,305.0
2022-01-01 10:00:00 AM,47043.0,7765.0,14248.625,706.311,14954,936,306.0
2022-01-01 11:00:00 AM,47043.0,7765.0,14205.849,706.311,14912,16,304.0
2022-01-01 12:00:00 PM,47043.0,7765.0,14106.366,706.311,14812,677,306.0
2022-01-01 01:00:00 PM,47043.0,7765.0,14114.14,706.311,14820,451,301.0
2022-01-01 02:00:00 PM,47043.0,7765.0,14080.451,743.111,14823,562,301.0
2022-01-01 03:00:00 PM,47043.0,7765.0,14076.907,752.311,14829,218,300.0
2022-01-01 04:00:00 PM,47043.0,7765.0,14200.561,752.311,14952,872,301.0
2022-01-01 05:00:00 PM,47043.0,7765.0,14185.561,716.278,14901,839,301.0
2022-01-01 06:00:00 PM,47043.0,7597.75,13684.322,706.311,14390,633,301.0
2022-01-01 07:00:00 PM,47043.0,7096.0,12727.741,706.311,13434,052,263.0
2022-01-01 08:00:00 PM,47043.0,7096.0,12751.896,706.311,13458,207,195.0
2022-01-01 09:00:00 PM,47043.0,7096.0,12621.181,706.311,13327,492,190.0
2022-01-01 10:00:00 PM,47043.0,7096.0,12668.156,706.311,13374,467,169.0
2022-01-01 11:00:00 PM,47043.0,7096.0,12635.778,706.311,13342,089,168.0
2022-01-02 12:00:00 AM,47043.0,6928.167,12725.638,706.311,13431,949,172.0
2022-01-02 01:00:00 AM,47043.0,6906.0,12733.764,706.311,13440,075,260.0
2022-01-02 02:00:00 AM,47043.0,6906.0,12733.764,706.311,13440,075,299.0
2022-01-02 03:00:00 AM,47043.0,6906.0,12735.068,708.265,13443,333,295.0
2022-01-02 04:00:00 AM,47043.0,6900.167,13030.482,735.617,13766,099,292.0
2022-01-02 05:00:00 AM,47043.0,6556.0,13646.466,740.367,14386,833,295.0
2022-01-02 06:00:00 AM,47043.0,6556.0,13620.046,750.617,14370,663,293.0
2022-01-02 07:00:00 AM,47043.0,6556.0,14326.421,750.617,15077,038,301.0
2022-01-02 08:00:00 AM,47043.0,6556.0,14355.916,750.617,15106,533,303.0
2022-01-02 09:00:00 AM,47043.0,6556.0,14226.066,825.728,15051,795,300.0
2022-01-02 10:00:00 AM,47043.0,6556.0,13711.321,987.811,14699,132,301.0
2022-01-02 11:00:00 AM,47043.0,6556.0,13718.273,987.811,14706,084,296.0
2022-01-02 12:00:00 PM,47043.0,6556.0,13607.358,994.811,14602,169,292.0
2022-01-02 01:00:00 PM,47043.0,6556.0,13477.08,1007.811,14484,891,290.0
2022-01-02 02:00:00 PM,47043.0,6556.0,13577.99,1009.245,14587,235,290.0
2022-01-02 03:00:00 PM,47043.0,6183.917,13578.349,1074.112,14652,461,292.0
2022-01-02 04:00:00 PM,47043.0,5898.917,13506.923,1081.147,14588,07,295.0
2022-01-02 05:00:00 PM,47043.0,5506.0,13501.338,1069.167,14570,505,297.0
2022-01-02 06:00:00 PM,47043.0,5506.0,13413.676,1041.296,14454,972,297.0
2022-01-02 07:00:00 PM,47043.0,5596.883,13273.582,1041.296,14314,878,302.0
2022-01-02 08:00:00 PM,47043.0,5702.117,12842.09,1106.339,13948,429,302.0
2022-01-02 09:00:00 PM,47043.0,5398.0,12974.317,1069.382,14043,699,302.0
2022-01-02 10:00:00 PM,47043.0,4846.167,13528.455,1069.382,14597,837,301.0
2022-01-02 11:00:00 PM,47043.0,4893.667,13559.805,1069.382,14629,187,302.0
2022-01-03 12:00:00 AM,47043.0,4596.0,13882.113,1069.382,14951,495,305.0
2022-01-03 01:00:00 AM,47043.0,4596.0,13801.258,1084.098,14885,356,306.0
2022-01-03 02:00:00 AM,47043.0,4596.0,13524.103,1049.482,14573,586,305.0
2022-01-03 03:00:00 AM,47043.0,4596.0,13028.907,955.449,13984,356,301.0
2022-01-03 04:00:00 AM,47043.0,4701.767,13022.374,955.449,13977,823,302.0
2022-01-03 05:00:00 AM,47043.0,4930.0,12976.233,955.449,13931,682,296.0
2022-01-03 06:00:00 AM,47043.0,4930.0,12898.147,955.449,13853,596,250.0
2022-01-03 07:00:00 AM,47043.0,4930.0,12980.985,955.449,13936,434,181.0
2022-01-03 08:00:00 AM,47043.0,4930.0,12988.44,955.449,13943,889,186.0
2022-01-03 09:00:00 AM,47043.0,4657.233,13661.415,989.116,14650,53,184.0
2022-01-03 10:00:00 AM,47043.0,4596.0,13566.905,1235.449,14802,354,190.0
2022-01-03 11:00:00 AM,47043.0,4596.0,13577.566,1109.782,14687,348,186.0
2022-01-03 12:00:00 PM,47043.0,4596.0,13754.99,975.449,14730,439,191.0
2022-01-03 01:00:00 PM,47043.0,4003.0,14243.957,981.298,15225,255,287.0
2022-01-03 02:00:00 PM,47043.0,4003.0,14011.801,1186.269,15198,07,306.0
2022-01-03 03:00:00 PM,47043.0,4003.0,14572.099,1026.985,15599,084,304.0
2022-01-03 04:00:00 PM,47043.0,4003.0,14565.621,917.953,15483,574,304.0
2022-01-03 05:00:00 PM,47043.0,4003.0,14368.487,853.953,15222,44,305.0
2022-01-03 06:00:00 PM,47043.0,4003.0,14468.275,853.953,15322,228,305.0
2022-01-03 07:00:00 PM,47043.0,4003.0,14276.934,961.602,15238,536,304.0
2022-01-03 08:00:00 PM,47043.0,4003.0,14073.829,1004.036,15077,865,302.0
2022-01-03 09:00:00 PM,47043.0,3768.333,14268.059,1004.036,15272,095,303.0
2022-01-03 10:00:00 PM,47043.0,3363.0,14747.189,1021.444,15768,633,298.0
2022-01-03 11:00:00 PM,47043.0,3363.0,14745.323,1022.36,15767,683,263.0
2022-01-04 12:00:00 AM,47043.0,3363.0,14667.742,1004.715,15672,457,278.0
2022-01-04 01:00:00 AM,47043.0,3363.0,14671.868,925.311,15597,179,307.0
2022-01-04 02:00:00 AM,47043.0,3492.85,14698.421,886.385,15584,806,309.0
2022-01-04 03:00:00 AM,47043.0,3522.0,14695.688,809.393,15505,081,238.0
2022-01-04 04:00:00 AM,47043.0,3376.25,14698.395,742.3,15440,695,209.0
2022-01-04 05:00:00 AM,47043.0,3688.483,14563.074,755.818,15318,892,188.0
2022-01-04 06:00:00 AM,47043.0,3694.0,14491.345,763.097,15254,442,178.0
2022-01-04 07:00:00 AM,47043.0,3694.0,14669.089,763.097,15432,186,179.0
2022-01-04 08:00:00 AM,47043.0,3694.0,14518.317,763.097,15281,414,173.0
2022-01-04 09:00:00 AM,47043.0,3796.0,14314.805,787.364,15102,169,171.0
2022-01-04 10:00:00 AM,47043.0,4306.0,13984.532,789.097,14773,629,169.0
2022-01-04 11:00:00 AM,47043.0,4306.0,14010.782,817.773,14828,555,35.0
2022-01-04 12:00:00 PM,47043.0,4306.0,13792.49,760.327,14552,817,0.0
2022-01-04 01:00:00 PM,47043.0,4223.25,13758.061,737.435,14495,496,0.0
2022-01-04 02:00:00 PM,47043.0,3975.0,13823.242,743.702,14566,944,0.0
2022-01-04 03:00:00 PM,47043.0,3975.0,13912.689,743.702,14656,391,0.0
2022-01-04 04:00:00 PM,47043.0,3975.0,13751.671,761.569,14513,24,0.0
2022-01-04 05:00:00 PM,47043.0,3975.0,13704.133,1011.702,14715,835,0.0
2022-01-04 06:00:00 PM,47043.0,3975.0,13798.738,1011.702,14810,44,0.0
2022-01-04 07:00:00 PM,47043.0,3975.0,13747.616,981.264,14728,88,0.0
2022-01-04 08:00:00 PM,47043.0,3975.0,13613.124,972.0,14585,124,0.0
2022-01-04 09:00:00 PM,47043.0,3975.0,13586.438,972.0,14558,438,0.0
2022-01-04 10:00:00 PM,47043.0,3975.0,13886.08,930.0,14816,08,0.0
2022-01-04 11:00:00 PM,47043.0,3975.0,14275.899,912.0,15187,899,0.0
2022-01-05 12:00:00 AM,47043.0,3975.0,14575.385,912.0,15487,385,0.0
2022-01-05 01:00:00 AM,47043.0,3975.0,14515.299,902.333,15417,632,0.0
2022-01-05 02:00:00 AM,47043.0,3975.0,14097.871,892.0,14989,871,0.0
2022-01-05 03:00:00 AM,47043.0,3975.0,13841.322,762.0,14603,322,0.0
2022-01-05 04:00:00 AM,47043.0,3975.0,13646.433,762.0,14408,433,0.0
2022-01-05 05:00:00 AM,47043.0,3975.0,13508.49,762.0,14270,49,0.0
2022-01-05 06:00:00 AM,47043.0,3975.0,13476.724,762.0,14238,724,0.0
2022-01-05 07:00:00 AM,47043.0,3975.0,13681.102,762.0,14443,102,0.0
2022-01-05 08:00:00 AM,47043.0,4197.133,13707.178,762.0,14469,178,0.0
2022-01-05 09:00:00 AM,47043.0,4213.0,13414.197,762.0,14176,197,0.0
2022-01-05 10:00:00 AM,47043.0,4828.0,13418.147,762.0,14180,147,0.0
2022-01-05 11:00:00 AM,47043.0,4828.0,13843.373,762.0,14605,373,0.0
2022-01-05 12:00:00 PM,47043.0,4605.867,14103.363,762.0,14865,363,0.0
2022-01-05 01:00:00 PM,47043.0,4590.0,14116.292,772.617,14888,909,0.0
2022-01-05 02:00:00 PM,47043.0,4590.0,14141.323,822.7,14964,023,0.0
2022-01-05 03:00:00 PM,47043.0,4590.0,14025.556,885.167,14910,723,0.0
2022-01-05 04:00:00 PM,47043.0,4590.0,14231.611,1085.6,15317,211,0.0
2022-01-05 05:00:00 PM,47043.0,4590.0,14236.977,1105.7,15342,677,0.0
2022-01-05 06:00:00 PM,47043.0,4590.0,14416.684,1103.417,15520,101,0.0
2022-01-05 07:00:00 PM,47043.0,4590.0,14371.604,1027.517,15399,121,0.0
2022-01-05 08:00:00 PM,47043.0,4590.0,14592.817,1014.0,15606,817,0.0
2022-01-05 09:00:00 PM,47043.0,4590.0,15028.121,1014.0,16042,121,0.0
2022-01-05 10:00:00 PM,47043.0,4590.0,15324.093,838.95,16163,043,0.0
2022-01-05 11:00:00 PM,47043.0,4590.0,15420.562,696.0,16116,562,0.0
2022-01-06 12:00:00 AM,47043.0,4590.0,15487.078,696.0,16183,078,0.0
2022-01-06 01:00:00 AM,47043.0,4590.0,15696.561,696.0,16392,561,0.0
2022-01-06 02:00:00 AM,47043.0,4590.0,15530.307,779.083,16309,39,172.0
2022-01-06 03:00:00 AM,47043.0,4590.0,15508.699,841.0,16349,699,283.0
2022-01-06 04:00:00 AM,47043.0,4590.0,15477.267,827.75,16305,017,329.0
2022-01-06 05:00:00 AM,47043.0,4590.0,15484.322,809.333,16293,655,339.0
2022-01-06 06:00:00 AM,47043.0,4590.0,15327.119,806.0,16133,119,344.0
2022-01-06 07:00:00 AM,47043.0,4590.0,15326.271,806.0,16132,271,346.0
2022-01-06 08:00:00 AM,47043.0,4622.0,15353.902,806.0,16159,902,348.0
2022-01-06 09:00:00 AM,47043.0,4910.0,14891.236,816.2,15707,436,347.0
2022-01-06 10:00:00 AM,47043.0,4910.0,14972.969,824.0,15796,969,352.0
2022-01-06 11:00:00 AM,47043.0,4910.0,15180.884,824.0,16004,884,362.0
2022-01-06 12:00:00 PM,47043.0,4910.0,15158.823,844.467,16003,29,358.0
2022-01-06 01:00:00 PM,47043.0,4910.0,15278.329,896.317,16174,646,353.0
2022-01-06 02:00:00 PM,47043.0,4878.0,15400.203,900.0,16300,203,327.0
2022-01-06 03:00:00 PM,47043.0,4590.0,16302.199,883.2,17185,399,362.0
2022-01-06 04:00:00 PM,47043.0,4590.0,16628.193,885.467,17513,66,447.0
2022-01-06 05:00:00 PM,47043.0,4590.0,16466.198,908.0,17374,198,513.0
2022-01-06 06:00:00 PM,47043.0,4590.0,16493.549,908.0,17401,549,523.0
2022-01-06 07:00:00 PM,47043.0,4590.0,16646.112,912.8,17558,912,524.0
2022-01-06 08:00:00 PM,47043.0,4590.0,16644.946,910.4,17555,346,526.0
2022-01-06 09:00:00 PM,47043.0,4590.0,16382.042,900.0,17282,042,533.0
2022-01-06 10:00:00 PM,47043.0,4590.0,16244.412,900.0,17144,412,540.0
2022-01-06 11:00:00 PM,47043.0,4590.0,16235.526,898.667,17134,193,545.0
2022-01-07 12:00:00 AM,47043.0,4705.0,16135.671,885.0,17020,671,546.0
2022-01-07 01:00:00 AM,47043.0,5165.0,15774.982,809.167,16584,149,545.0
2022-01-07 02:00:00 AM,47043.0,5165.0,15649.496,791.6,16441,096,538.0
2022-01-07 03:00:00 AM,47043.0,5165.0,15416.024,778.917,16194,94,532.0
2022-01-07 04:00:00 AM,47043.0,5165.0,15393.152,743.5,16136,652,530.0
2022-01-07 05:00:00 AM,47043.0,5168.35,15386.725,736.0,16122,725,528.0
2022-01-07 06:00:00 AM,47043.0,4643.0,15273.723,751.6,16025,323,529.0
2022-01-07 07:00:00 AM,47043.0,4643.0,15223.093,754.0,15977,093,532.0
2022-01-07 08:00:00 AM,47043.0,4658.3,14909.712,754.0,15663,712,536.0
2022-01-07 09:00:00 AM,47043.0,4746.6,14994.795,828.2,15822,995,537.0
2022-01-07 10:00:00 AM,47043.0,4606.367,15193.611,859.0,16052,611,534.0
2022-01-07 11:00:00 AM,47043.0,4728.0,15177.774,879.667,16057,44,538.0
2022-01-07 12:00:00 PM,47043.0,4728.0,14830.685,888.0,15718,685,541.0
2022-01-07 01:00:00 PM,47043.0,4728.0,14751.243,899.8,15651,043,541.0
2022-01-07 02:00:00 PM,47043.0,4728.0,14723.595,926.4,15649,995,438.0
