sep=,
"Time","Global Solar","Generic flat plate PV Solar Altitude","Generic flat plate PV Solar Azimuth","Generic flat plate PV Angle of Incidence","Generic flat plate PV Incident Solar","Generic flat plate PV Power Output","Wind Speed","Generic 10 kW Power Output","Generic 10 kW Operating Status","AC Primary Load","AC Primary Load Served","DC Primary Load","DC Primary Load Served","Grid Power Price","Grid Sellback Rate","Grid Purchases","Total Electrical Load Served","Renewable Penetration","Excess Electrical Production","Unmet Electrical Load","Capacity Shortage","Total Renewable Power Output","Inverter Power Input","Inverter Power Output","Rectifier Power Input","Rectifier Power Output","Generic 100kWh Li-Ion Maximum Charge Power","Generic 100kWh Li-Ion Maximum Discharge Power","Generic 100kWh Li-Ion Charge Power","Generic 100kWh Li-Ion Discharge Power","Generic 100kWh Li-Ion Input Power","Generic 100kWh Li-Ion Energy Content","Generic 100kWh Li-Ion State of Charge","Generic 100kWh Li-Ion Energy Cost","AC Required Operating Capacity","DC Required Operating Capacity","AC Operating Capacity","DC Operating Capacity"
,"kW/m2","°","°","°","kW/m2","kW","m/s","kW","status","kW","kW","kW","kW","R/kWh","R/kWh","kW","kW","%","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kWh","%","R/kWh","kW","kW","kW","kW"
"1/1/2007 12:00:00 AM","0","0","5.10421","90","0","0","5.614098","61.47818","0","96.85498","96.85498","52.2","52.2","1.2103","0","90.32417","149.055","41.2453","0","0","0","61.47818","0","0","54.94737","52.2","0","379.4741","0","0","0","500.001","100","0","137.2796","57.42","1000060","379.4741"
"1/1/2007 1:00:00 AM","0","0","-11.2388","90","0","0","5.022361","36.94864","0","96.85498","96.85498","52.2","52.2","1.2103","0","114.8537","149.055","24.7886","0","0","0","36.94864","0","0","54.94737","52.2","0","379.4741","0","0","0","500.001","100","0","125.0148","57.42","1000036","379.4741"
"1/1/2007 2:00:00 AM","0","0","-26.49938","90","0","0","5.185236","42.08712","0","97.05298","97.05298","52","52","1.2103","0","109.7027","149.053","28.23635","0","0","0","42.08712","0","0","54.73684","52","0","379.4741","0","0","0","500.001","100","0","127.8018","57.2","1000041","379.4741"
"1/1/2007 3:00:00 AM","0","0","-39.71347","90","0","0","6.055897","84.37656","0","97.22897","97.22897","52.2","52.2","1.2103","0","67.79979","149.429","56.46599","0","0.00000000000002842171","0","84.37656","0","0","54.94737","52.2","0","379.4741","0","0","0","500.001","100","0","149.1402","57.42","1000083","379.4741"
"1/1/2007 4:00:00 AM","0","0","-50.78363","90","0","0","7.109079","167.4359","0","96.85898","96.85898","52.2","52.2","1.2103","0","0","149.059","112.3286","15.6295","0","0","167.4359","0","0","54.94737","52.2","0","379.4741","0","0","0","500.001","100","0","190.2628","57.42","1000166","379.4741"
"1/1/2007 5:00:00 AM","0.003632546","0","-60.0996","90","0","0","7.792694","239.0695","0","98.01797","98.01797","52.2","52.2","1.2103","0","0","150.218","159.1484","86.10417","0","0","239.0695","0","0","54.94737","52.2","0","379.4741","0","0","0","500.001","100","0","227.3545","57.42","1000238","379.4741"
"1/1/2007 6:00:00 AM","0.09031922","9.02942","-68.18325","94.29254","0.06598248","26.39299","9.971974","436.8465","0","98.02198","98.02198","51.5","51.5","1.662","0","0","149.522","309.8136","312.3961","0","0","463.2395","0","0","26.42843","25.10701","0","379.4741","0","0","0","500.001","100","0","326.2474","77.76439","1000436","405.8671"
"1/1/2007 7:00:00 AM","0.2116105","20.84894","-75.55711","80.50256","0.1740638","69.62553","12.19426","497.5274","0","150.602","150.602","50.9","50.9","2.221","0.05","0","201.502","281.4627","365.651","0","0","567.153","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","414.4259","111.6904","1000496","449.0996"
"1/1/2007 8:00:00 AM","0.3231814","33.06144","-82.77412","66.82085","0.2876203","115.0481","13.343","499.37","0","153.349","153.349","49","49","2.221","0.05","0","202.349","303.6429","412.0692","0","0","614.4182","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","418.3689","145.9385","1000498","494.5222"
"1/1/2007 9:00:00 AM","0.5260103","45.47269","-90.59402","53.46003","0.4723347","188.9339","12.84296","500","0","156.523","156.523","49.3","49.3","2.221","0.05","0","205.823","334.7216","483.1109","0","0","688.9338","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","422.1753","205.3771","1000499","568.408"
"1/1/2007 10:00:00 AM","0.1992255","57.84742","-100.5342","40.83629","0.1861314","74.45257","14.59944","464.86","0","157.52","157.52","50.9","50.9","1.662","0","0","208.42","258.7624","330.8925","0","0","539.3125","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","405.7019","115.5521","1000464","453.9266"
"1/1/2007 11:00:00 AM","0.1749497","69.64871","-117.1174","29.97827","0.1634842","65.39366","12.09372","496.4512","0","157.249","157.249","50.4","50.4","1.662","0","0","207.649","270.5744","354.1959","0","0","561.8449","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","421.1995","107.7549","1000495","444.8677"
"1/1/2007 12:00:00 PM","0.5862909","78.39307","-158.1779","23.53537","0.554176","221.6704","15.49536","423.1475","0","161.152","161.152","51.3","51.3","1.662","0","0","212.452","303.5123","432.366","0","0","644.8179","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","388.8409","233.7663","1000422","601.1445"
"1/1/2007 1:00:00 PM","0.5376287","75.85781","137.5012","25.18626","0.5069153","202.7661","19.40405","338.3076","0","156.056","156.056","52","52","1.662","0","0","208.056","260.0616","333.0178","0","0","541.0738","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","340.8154","219.4129","1000337","582.2402"
"1/1/2007 2:00:00 PM","0.2841713","65.32276","109.4557","33.76016","0.2657261","106.2904","18.34248","340.9989","0","159.676","159.676","52.2","52.2","1.662","0","0","211.876","211.1091","235.4134","0","0","447.2893","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","346.143","142.4523","1000340","485.7645"
"1/1/2007 3:00:00 PM","0.1780745","53.19265","96.35717","45.48046","0.1663086","66.52345","20.85184","334.6373","0","159.678","159.678","50.6","50.6","1.662","0","0","210.278","190.7764","190.8828","0","0","401.1607","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","342.9644","108.8788","1000334","445.9975"
"1/1/2007 4:00:00 PM","0.2957012","40.76778","87.4973","58.45639","0.2742388","109.6955","18.46505","340.6882","0","162.319","162.319","49.9","49.9","1.662","0","0","212.219","212.2259","238.1647","0","0","450.3837","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","348.895","142.6464","1000340","489.1696"
"1/1/2007 5:00:00 PM","0.2187835","28.4087","80.02266","71.97169","0.1996953","79.87812","15.19276","439.0016","0","166.376","166.376","49.3","49.3","1.662","0","0","215.676","240.583","303.2038","0","0","518.8798","0","0","0","0","0","379.4741","0","0","0","500.001","100","0","402.5144","118.1325","1000438","459.3522"
"1/1/2007 6:00:00 PM","0.1010343","16.32121","72.81834","85.71423","0.09223163","36.89265","14.59773","464.9311","0","165.752","165.752","49.5","49.5","2.221","0.05","0","215.252","233.1332","285.9082","0","0","501.8238","0","0","13.27089","12.60735","0","379.4741","0","0","0","500.001","100","0","414.7927","83.96412","1000464","416.3667"
