sep=,
"Architecture/PV (kW)","Architecture/G10","Architecture/Gen (kW)","Architecture/100LI","Architecture/Grid (kW)","Architecture/Converter (kW)","Cost/NPC (R)","Cost/COE (R)","Cost/Operating cost (R/yr)","Cost/Initial capital (R)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost (R/yr)","Gen/Fuel Cost (R/yr)","PV/Capital Cost (R)","PV/Production (kWh/yr)","G10/Capital Cost (R)","G10/Production (kWh/yr)","G10/O&M Cost (R)","100LI/Autonomy (hr)","100LI/Annual Throughput (kWh/yr)","100LI/Nominal Capacity (kWh)","100LI/Usable Nominal Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"500","50","","6","999999","133.2916666667","1.441829E+08","1.090706","2332216","8549666","68.49773","0","","","","","","2198000","874252.8","2429900","1693591","25000","1.836287","72798.27","600.0012","480.0009","45.19508","16.06697","716062.1","-3.552714E-15"
"495.061269087101","50","560","9","999999","201.873910902344","1.504651E+08","1.129881","2378777","1.212406E+07","68.39793","9198.599","174","31710.02","9198.599","29232","211567.8","2176289","865617.3","2429900","1693591","25000","2.754431","83883.65","900.0018","720.0015","46.87082","18.33931","691927.6","-1.776357E-15"
"500","50","","","999999","300.438941270083","1.630698E+08","1.257016","2722861","4718032","69.73246","0","","","","","","2198000","874252.8","2429900","1693591","25000","","","","","39.84687","14.22728","675168.4","0"
"500","50","560","","999999","228.499999999999","1.783146E+08","1.33901","2957259","6331090","65.65942","32887.18","685","110742","32887.18","115080","756405.1","2198000","874252.8","2429900","1693591","25000","","","","","42.27657","13.28231","675603.3","-4.263256E-14"
"","50","","11","999999","167.59795657598","1.900138E+08","1.438841","3102273","9596772","54.15131","0","","","","","","","","2429900","1693591","25000","3.366526","118788.7","1100.002","880.0018","94.58679","5.788244","1041122","-1.154632E-14"
"","50","560","11","999999","260.073238844792","1.989833E+08","1.494217","3227921","1.125916E+07","53.30377","10633.65","179","37582.44","10633.65","30072","244574","","","2429900","1693591","25000","3.366526","121121.4","1100.002","880.0018","96.58488","6.774793","1031688","-4.440892E-14"
"","50","","","999999","228.5","2.114311E+08","1.651019","3592600","2498450","54.70062","0","","","","","","","","2429900","1693591","25000","","","","","83.4772","0","997496.8","-2.131628E-14"
"","50","560","","999999","228.5","2.288713E+08","1.718653","3864377","4133090","50.80227","37435.11","708","129053.8","37435.11","118944","861007.5","","","2429900","1693591","25000","","","","","87.99606","0","997496.8","-7.81597E-14"
"500","","","10","999999","180.663066401818","2.368276E+08","1.799541","3922282","8721829","32.06885","0","","","","","","2198000","874252.8","","","","3.060478","174588.7","1000.002","800.0016","52.54757","50.43359","1537242","0"
"499.827538320737","","560","11","999999","249.14784582909","2.50411E+08","1.880401","4116277","1.102322E+07","32.25463","17683.09","283","63110.09","17683.09","47544","406711.2","2197242","873951.2","","","","3.366526","180761.8","1100.002","880.0018","54.63235","53.82449","1488152","-5.684342E-14"
"500","","","","999999","285.625","2.611153E+08","2.074728","4450615","2283688","35.12419","0","","","","","","2198000","874252.8","","","","","","","","38.71279","43.08929","1403966","0"
"500","","560","","999999","285.625","2.691482E+08","2.021103","4560632","3918328","32.20879","42460.97","756","148346.2","42460.97","127008","976602.3","2198000","874252.8","","","","","","","","42.27657","40.83813","1403966","-1.136868E-13"
"","","","12","999999","209.458333333333","3.281302E+08","2.521189","5507630","7826394","0","0","","","","","","","","","","","3.672574","220977.7","1200.002","960.0019","104.3327","14.56068","2315829","0"
"","","","","999999","228.5","3.487652E+08","2.862849","5995845","68550","0","0","","","","","","","","","","","","","","","80.48174","0","2131881","0"
"","","560","20","999999","285.625","3.541252E+08","2.659217","5837118","1.465959E+07","0","21891.54","318","79481.74","21891.54","53424","503505.4","","","","","","6.120957","264682.3","2000.004","1600.003","110.1086","18.01351","2297034","-1.421085E-14"
"","","560","","999999","228.5","3.680314E+08","2.763643","6299021","1703190","0","54303.66","756","198532.3","54303.66","127008","1248984","","","","","","","","","","87.99606","0","2131881","-2.842171E-13"
