sep=,
"Architecture/PV (kW)","Architecture/G10","Architecture/Gen (kW)","Architecture/100LI","Architecture/Grid (kW)","Architecture/Converter (kW)","Cost/NPC (R)","Cost/COE (R)","Cost/Operating cost (R/yr)","Cost/Initial capital (R)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost (R/yr)","Gen/Fuel Cost (R/yr)","PV/Capital Cost (R)","PV/Production (kWh/yr)","G10/Capital Cost (R)","G10/Production (kWh/yr)","G10/O&M Cost (R)","100LI/Autonomy (hr)","100LI/Annual Throughput (kWh/yr)","100LI/Nominal Capacity (kWh)","100LI/Usable Nominal Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"1000","100","","5","999999","129.502451350037","1.233312E+08","0.9315422","1905238","1.252947E+07","77.44395","0","","","","","","4396000","1748506","4859800","3387181","50000","1.530239","51392.38","500.001","400.0008","39.58352","15.76415","513494.9","-3.552714E-15"
"998.141303425844","100","560","8","999999","196.249394186502","1.272139E+08","0.9552822","1910316","1.611685E+07","77.91164","6702.874","127","23097.86","6702.874","21336","154166.1","4387829","1745256","4859800","3387181","50000","2.448383","59889.96","800.0016","640.0013","40.75289","18.95547","482690.7","-4.263256E-14"
"1000","100","","","999999","304.666666666667","1.316078E+08","1.006592","2102274","9347200","79.00667","0","","","","","","4396000","1748506","4859800","3387181","50000","","","","","36.27108","16.75486","471968","0"
"1000","100","560","","999999","275.022505292027","1.419038E+08","1.065593","2251359","1.097295E+07","76.08115","22496.54","469","75735.57","22496.54","78792","517420.3","4396000","1748506","4859800","3387181","50000","","","","","38.04719","15.84616","471968.6","-4.973799E-14"
"","100","","9","999999","158.055627318751","1.644023E+08","1.244036","2642400","1.072988E+07","64.9698","0","","","","","","","","4859800","3387181","50000","2.754431","98779.75","900.0018","720.0015","92.71765","4.196731","796013","-5.417888E-14"
"","100","560","14","999999","239.372893925908","1.732302E+08","1.30083","2710046","1.562373E+07","64.87901","5784.716","91","20711.33","5784.716","15288","133048.5","","","4859800","3387181","50000","4.28467","95180.59","1400.003","1120.002","94.80197","5.377571","783504","-6.039613E-14"
"","100","","","999999","228.5","1.797098E+08","1.389279","3005370","4928350","65.16676","0","","","","","","","","4859800","3387181","50000","","","","","84.68632","0","774780.8","-9.15934E-16"
"","100","560","","999999","228.5","1.922222E+08","1.443446","3192413","6562990","62.0803","27107.57","511","93520.76","27107.57","85848","623474.1","","","4859800","3387181","50000","","","","","87.99606","0","774780.8","-7.105427E-14"
"1000","","","10","999999","216.374856067483","2.071663E+08","1.564434","3374278","1.093054E+07","44.96886","0","","","","","","4396000","1748506","","","","3.060478","163467.8","1000.002","800.0016","45.76077","77.22926","1253064","0"
"1000","","560","17","999999","275.166825387535","2.132178E+08","1.601107","3372050","1.711156E+07","46.7563","5239.737","88","18527.22","5239.737","14784","120513.9","4396000","1748506","","","","5.202813","174302.2","1700.003","1360.003","45.09792","81.69526","1200670","0"
"1000","","","","999999","304.666666666667","2.283978E+08","1.795617","3850143","4487400","47.47201","0","","","","","","4396000","1748506","","","","","","","","34.83738","70.41083","1148872","0"
"1000","","560","","999999","304.666666666667","2.384343E+08","1.790465","3994614","6122040","43.69852","40572.55","756","140343.6","40572.55","127008","933168.7","4396000","1748506","","","","","","","","38.04719","66.42063","1148872","-1.065814E-13"
"","","","12","999999","209.458333333333","3.281302E+08","2.521189","5507630","7826394","0","0","","","","","","","","","","","3.672574","220977.7","1200.002","960.0019","104.3327","14.56068","2315829","0"
"","","","","999999","228.5","3.487652E+08","2.862849","5995845","68550","0","0","","","","","","","","","","","","","","","80.48174","0","2131881","0"
"","","560","20","999999","285.625","3.541252E+08","2.659217","5837118","1.465959E+07","0","21891.54","318","79481.74","21891.54","53424","503505.4","","","","","","6.120957","264682.3","2000.004","1600.003","110.1086","18.01351","2297034","-1.421085E-14"
"","","560","","999999","228.5","3.680314E+08","2.763643","6299021","1703190","0","54303.66","756","198532.3","54303.66","127008","1248984","","","","","","","","","","87.99606","0","2131881","-2.842171E-13"
