sep=,
"Architecture/PV (kW)","Architecture/G10","Architecture/Gen (kW)","Architecture/100LI","Architecture/Grid (kW)","Architecture/Converter (kW)","Cost/NPC (R)","Cost/COE (R)","Cost/Operating cost (R/yr)","Cost/Initial capital (R)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost (R/yr)","Gen/Fuel Cost (R/yr)","PV/Capital Cost (R)","PV/Production (kWh/yr)","G10/Capital Cost (R)","G10/Production (kWh/yr)","G10/O&M Cost (R)","100LI/Autonomy (hr)","100LI/Annual Throughput (kWh/yr)","100LI/Nominal Capacity (kWh)","100LI/Usable Nominal Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"1334.46426157494","223","","4","999999","125.602727965864","1.164235E+08","0.8788114","1669538","1.932919E+07","83.32222","0","","","","","","5866305","2333318","1.083735E+07","7553414","111500","1.224191","35143.59","400.0008","320.0006","37.66176","11.62281","379914.4","-7.105427E-15"
"1405.05840734643","222","560","6","999999","160.466075984082","1.188008E+08","0.8921055","1655378","2.252995E+07","83.2708","7156.108","140","24475.3","7156.108","23520","164590.5","6176637","2456752","1.078876E+07","7519543","111000","1.836287","37363.32","600.0012","480.0009","38.10513","13.18952","358597.1","-1.065814E-14"
"1805.96001243472","223","","","999999","285.823830739842","1.212075E+08","0.9224311","1759831","1.88621E+07","85.02175","0","","","","","","7939000","3157731","1.083735E+07","7553414","111500","","","","","34.75003","14.01432","338422.6","-7.105427E-15"
"1499.42422150677","277","560","","999999","299.035219976212","1.267014E+08","0.9514337","1804169","2.177747E+07","83.88203","14448.42","302","48608.45","14448.42","50736","332313.6","6591469","2621752","1.346165E+07","9382492","138500","","","","","36.60252","11.50749","320467.6","-3.552714E-14"
"","310","","6","999999","153.460442550232","1.477733E+08","1.117845","2214377","1.89932E+07","77.33647","0","","","","","","","","1.506538E+07","1.050026E+07","155000","1.836287","69614.98","600.0012","480.0009","90.26525","2.209289","515162.7","-1.776357E-14"
"","284","560","10","999999","222.911373110242","1.529508E+08","1.148547","2252167","2.197298E+07","76.15378","5932","104","20792.24","5932","17472","136436","","","1.380183E+07","9619595","142000","3.060478","58490.68","1000.002","800.0016","92.06596","3.19778","525248.7","-2.131628E-14"
"","366","","","999999","228.5","1.554874E+08","1.188157","2366584","1.785542E+07","78.89758","0","","","","","","","","1.778687E+07","1.239708E+07","183000","","","","","85.96858","0","474849.6","0"
"","366","560","","999999","228.5","1.607418E+08","1.207052","2428827","1.949006E+07","76.85716","15957.02","300","55085.06","15957.02","50400","367011.4","","","1.778687E+07","1.239708E+07","183000","","","","","87.99606","0","474849.6","-3.552714E-14"
"3178.52229517938","","","9","999999","231.963962234565","1.875043E+08","1.414","2882560","1.986504E+07","54.84048","0","","","","","","1.397278E+07","5557664","","","","2.754431","141089.5","900.0018","720.0015","40.6155","97.65494","1029707","0"
"3025.54223165702","","560","16","999999","277.124646871473","1.94698E+08","1.462037","2911606","2.536947E+07","56.07546","3122.914","67","10434.25","3122.914","11256","71827.02","1.330028E+07","5290177","","","","4.896766","150089.7","1600.003","1280.003","39.28933","99.94102","995368.6","0"
"3921.25","","","","999999","323.708333333333","1.97239E+08","1.538697","3093455","1.733493E+07","57.25998","0","","","","","","1.723782E+07","6856327","","","","","","","","31.84587","92.58504","942056.8","0"
"4444.08333333333","","560","","999999","342.75","2.108638E+08","1.583431","3260007","2.127366E+07","54.55633","30881.38","562","107381.9","30881.38","94416","710271.6","1.953619E+07","7770504","","","","","","","","34.71103","91.18459","933206.6","-1.172396E-13"
"","","","12","999999","209.458333333333","3.281302E+08","2.521189","5507630","7826394","0","0","","","","","","","","","","","3.672574","220977.7","1200.002","960.0019","104.3327","14.56068","2315829","0"
"","","","","999999","228.5","3.487652E+08","2.862849","5995845","68550","0","0","","","","","","","","","","","","","","","80.48174","0","2131881","0"
"","","560","20","999999","285.625","3.541252E+08","2.659217","5837118","1.465959E+07","0","21891.54","318","79481.74","21891.54","53424","503505.4","","","","","","6.120957","264682.3","2000.004","1600.003","110.1086","18.01351","2297034","-1.421085E-14"
"","","560","","999999","228.5","3.680314E+08","2.763643","6299021","1703190","0","54303.66","756","198532.3","54303.66","127008","1248984","","","","","","","","","","87.99606","0","2131881","-2.842171E-13"
