tstamp,AC,tou_id,DC,weekDay,Sat,Sun,wrkHr,dayTime,Off-Peak,Peak,Standard
01-Jan-2022 00:00:00,96.855,3,230,0,1,0,0,0,1,0,0
01-Jan-2022 01:00:00,97.053,3,229.2,0,1,0,0,0,1,0,0
01-Jan-2022 02:00:00,97.229,3,229.2,0,1,0,0,0,1,0,0
01-Jan-2022 03:00:00,96.859,3,228.4,0,1,0,0,0,1,0,0
01-Jan-2022 04:00:00,98.018,3,230,0,1,0,0,0,1,0,0
01-Jan-2022 05:00:00,98.022,3,233.1,0,1,0,0,0,1,0,0
01-Jan-2022 06:00:00,150.602,3,239.4,0,1,0,0,0,1,0,0
01-Jan-2022 07:00:00,153.349,3,231.5,0,1,0,0,1,1,0,0
01-Jan-2022 08:00:00,156.523,3,234.7,0,1,0,0,1,1,0,0
01-Jan-2022 09:00:00,157.52,3,250.4,0,1,0,0,1,1,0,0
01-Jan-2022 10:00:00,157.249,3,253.6,0,1,0,0,1,1,0,0
01-Jan-2022 11:00:00,161.152,3,248.1,0,1,0,0,1,1,0,0
01-Jan-2022 12:00:00,156.056,3,255.2,0,1,0,0,1,1,0,0
01-Jan-2022 13:00:00,159.676,3,252,0,1,0,0,1,1,0,0
01-Jan-2022 14:00:00,159.678,3,256.7,0,1,0,0,1,1,0,0
01-Jan-2022 15:00:00,162.319,3,270.1,0,1,0,0,1,1,0,0
01-Jan-2022 16:00:00,166.376,3,266.2,0,1,0,0,1,1,0,0
01-Jan-2022 17:00:00,165.752,3,273.3,0,1,0,0,1,1,0,0
01-Jan-2022 18:00:00,162.305,3,252,0,1,0,0,1,1,0,0
01-Jan-2022 19:00:00,109.899,3,252,0,1,0,0,0,1,0,0
01-Jan-2022 20:00:00,99.846,3,252.8,0,1,0,0,0,1,0,0
01-Jan-2022 21:00:00,99.776,3,249.6,0,1,0,0,0,1,0,0
01-Jan-2022 22:00:00,98.999,3,229.2,0,1,0,0,0,1,0,0
01-Jan-2022 23:00:00,99.414,3,220.5,0,1,0,0,0,1,0,0
02-Jan-2022 00:00:00,98.824,3,223.7,0,0,1,0,0,1,0,0
02-Jan-2022 01:00:00,98.278,3,224.4,0,0,1,0,0,1,0,0
02-Jan-2022 02:00:00,98.829,3,222.1,0,0,1,0,0,1,0,0
02-Jan-2022 03:00:00,97.729,3,222.1,0,0,1,0,0,1,0,0
02-Jan-2022 04:00:00,97.881,3,222.9,0,0,1,0,0,1,0,0
02-Jan-2022 05:00:00,98.799,3,226.8,0,0,1,0,0,1,0,0
02-Jan-2022 06:00:00,95.899,3,232.3,0,0,1,0,0,1,0,0
02-Jan-2022 07:00:00,97.098,3,226,0,0,1,0,1,1,0,0
02-Jan-2022 08:00:00,97.083,3,205.5,0,0,1,0,1,1,0,0
02-Jan-2022 09:00:00,96.893,3,206.3,0,0,1,0,1,1,0,0
02-Jan-2022 10:00:00,97.518,3,207.1,0,0,1,0,1,1,0,0
02-Jan-2022 11:00:00,98.011,3,204.8,0,0,1,0,1,1,0,0
02-Jan-2022 12:00:00,97.676,3,206.3,0,0,1,0,1,1,0,0
02-Jan-2022 13:00:00,96.949,3,209.5,0,0,1,0,1,1,0,0
02-Jan-2022 14:00:00,97.615,3,223.7,0,0,1,0,1,1,0,0
02-Jan-2022 15:00:00,99.722,3,239.4,0,0,1,0,1,1,0,0
02-Jan-2022 16:00:00,98.033,3,233.1,0,0,1,0,1,1,0,0
02-Jan-2022 17:00:00,96.846,3,249.6,0,0,1,0,1,1,0,0
02-Jan-2022 18:00:00,96.487,3,245.7,0,0,1,0,1,1,0,0
