tstamp,date,day,time,week_number,ptot,epoch_timestamp,DC,month,wrkHr,dayTime,weekDay,Off-Peak,Peak,Standard
01-Jan-2022 00:00:00,1,6,0,1,96.855,1640991308,52.2,1,0,0,0,1,0,0
01-Jan-2022 01:00:00,1,6,0.0416666666666667,1,97.053,1640994908,52,1,0,0,0,1,0,0
01-Jan-2022 02:00:00,1,6,0.0833333333333333,1,97.229,1640998508,52.2,1,0,0,0,1,0,0
01-Jan-2022 03:00:00,1,6,0.125,1,96.859,1641002108,52.2,1,0,0,0,1,0,0
01-Jan-2022 04:00:00,1,6,0.166666666666667,1,98.018,1641005708,52.2,1,0,0,0,1,0,0
01-Jan-2022 05:00:00,1,6,0.208333333333333,1,98.022,1641009308,51.5,1,0,0,0,1,0,0
01-Jan-2022 06:00:00,1,6,0.25,1,150.602,1641012909,50.9,1,0,0,0,1,0,0
01-Jan-2022 07:00:00,1,6,0.291666666666667,1,153.349,1641016508,49,1,0,1,0,1,0,0
01-Jan-2022 08:00:00,1,6,0.333333333333333,1,156.523,1641020108,49.3,1,0,1,0,1,0,0
01-Jan-2022 09:00:00,1,6,0.375,1,157.52,1641023708,50.9,1,0,1,0,1,0,0
01-Jan-2022 10:00:00,1,6,0.416666666666667,1,157.249,1641027308,50.4,1,0,1,0,1,0,0
01-Jan-2022 11:00:00,1,6,0.458333333333333,1,161.152,1641030909,51.3,1,0,1,0,1,0,0
01-Jan-2022 12:00:00,1,6,0.5,1,156.056,1641034508,52,1,0,1,0,1,0,0
01-Jan-2022 13:00:00,1,6,0.541666666666667,1,159.676,1641038108,52.2,1,0,1,0,1,0,0
01-Jan-2022 14:00:00,1,6,0.583333333333333,1,159.678,1641041708,50.6,1,0,1,0,1,0,0
01-Jan-2022 15:00:00,1,6,0.625,1,162.319,1641045308,49.9,1,0,1,0,1,0,0
01-Jan-2022 16:00:00,1,6,0.666666666666667,1,166.376,1641048908,49.3,1,0,0,0,1,0,0
01-Jan-2022 17:00:00,1,6,0.708333333333333,1,165.752,1641052508,49.5,1,0,0,0,1,0,0
01-Jan-2022 18:00:00,1,6,0.75,1,162.305,1641056108,49,1,0,0,0,1,0,0
01-Jan-2022 19:00:00,1,6,0.791666666666667,1,109.899,1641059708,49.1,1,0,0,0,1,0,0
01-Jan-2022 20:00:00,1,6,0.833333333333333,1,99.846,1641063308,49.5,1,0,0,0,1,0,0
01-Jan-2022 21:00:00,1,6,0.875,1,99.776,1641066908,50.6,1,0,0,0,1,0,0
01-Jan-2022 22:00:00,1,6,0.916666666666667,1,98.999,1641070508,49.1,1,0,0,0,1,0,0
01-Jan-2022 23:00:00,1,6,0.958333333333333,1,99.414,1641074108,49.9,1,0,0,0,1,0,0
02-Jan-2022 00:00:00,2,7,0,2,98.824,1641077708,49.5,1,0,0,0,1,0,0
02-Jan-2022 01:00:00,2,7,0.0416666666666667,2,98.278,1641081308,49.7,1,0,0,0,1,0,0
02-Jan-2022 02:00:00,2,7,0.0833333333333333,2,98.829,1641084908,50,1,0,0,0,1,0,0
02-Jan-2022 03:00:00,2,7,0.125,2,97.729,1641088508,49.7,1,0,0,0,1,0,0
02-Jan-2022 04:00:00,2,7,0.166666666666667,2,97.881,1641092108,49.7,1,0,0,0,1,0,0
02-Jan-2022 05:00:00,2,7,0.208333333333333,2,98.799,1641095708,49.3,1,0,0,0,1,0,0
02-Jan-2022 06:00:00,2,7,0.25,2,95.899,1641099308,56.7,1,0,0,0,1,0,0
02-Jan-2022 07:00:00,2,7,0.291666666666667,2,97.098,1641102908,71.6,1,0,1,0,1,0,0
02-Jan-2022 08:00:00,2,7,0.333333333333333,2,97.083,1641106508,70.2,1,0,1,0,1,0,0
02-Jan-2022 09:00:00,2,7,0.375,2,96.893,1641110108,71.5,1,0,1,0,1,0,0
02-Jan-2022 10:00:00,2,7,0.416666666666667,2,97.518,1641113708,75.2,1,0,1,0,1,0,0
02-Jan-2022 11:00:00,2,7,0.458333333333333,2,98.011,1641117308,72.9,1,0,1,0,1,0,0
02-Jan-2022 12:00:00,2,7,0.5,2,97.676,1641120908,71.3,1,0,1,0,1,0,0
02-Jan-2022 13:00:00,2,7,0.541666666666667,2,96.949,1641124508,69.5,1,0,1,0,1,0,0
02-Jan-2022 14:00:00,2,7,0.583333333333333,2,97.615,1641128109,68.6,1,0,1,0,1,0,0
02-Jan-2022 15:00:00,2,7,0.625,2,99.722,1641131708,59.9,1,0,1,0,1,0,0
02-Jan-2022 16:00:00,2,7,0.666666666666667,2,98.033,1641135308,46.8,1,0,0,0,1,0,0
02-Jan-2022 17:00:00,2,7,0.708333333333333,2,96.846,1641138908,46.4,1,0,0,0,1,0,0
02-Jan-2022 18:00:00,2,7,0.75,2,96.487,1641142508,47,1,0,0,0,1,0,0
02-Jan-2022 19:00:00,2,7,0.791666666666667,2,96.073,1641146108,47,1,0,0,0,1,0,0
02-Jan-2022 20:00:00,2,7,0.833333333333333,2,96.626,1641149708,47.3,1,0,0,0,1,0,0
02-Jan-2022 21:00:00,2,7,0.875,2,97.476,1641153309,49.3,1,0,0,0,1,0,0
02-Jan-2022 22:00:00,2,7,0.916666666666667,2,96.728,1641156908,49.3,1,0,0,0,1,0,0
02-Jan-2022 23:00:00,2,7,0.958333333333333,2,96.557,1641160508,49.5,1,0,0,0,1,0,0
