AC,DC
96.855,230
97.053,229.2
97.229,229.2
96.859,228.4
98.018,230
98.022,233.1
150.602,239.4
153.349,231.5
156.523,234.7
157.52,250.4
157.249,253.6
161.152,248.1
156.056,255.2
159.676,252
159.678,256.7
162.319,270.1
166.376,266.2
165.752,273.3
162.305,252
109.899,252
99.846,252.8
99.776,249.6
98.999,229.2
99.414,220.5
98.824,223.7
98.278,224.4
98.829,222.1
97.729,222.1
97.881,222.9
98.799,226.8
95.899,232.3
97.098,226
97.083,205.5
96.893,206.3
97.518,207.1
98.011,204.8
97.676,206.3
96.949,209.5
97.615,223.7
99.722,239.4
98.033,233.1
96.846,249.6
96.487,245.7
96.073,229.2
96.626,229.2
97.476,231.5
96.728,222.9
96.557,222.1
98.068,222.1
97.183,225.2
97.526,224.4
97.16,232.3
96.841,244.1
96.724,290.6
152.633,360.7
165.089,445.7
164.044,465.4
186.28,511.9
190.693,509.5
188.379,504.8
192.459,494.6
192.211,505.6
193.37,496.1
198.706,481.2
194.172,477.2
182.89,479.6
179.026,405.6
125.939,367
113.224,341
110.935,322.1
109.632,264.6
109.542,251.2
109.63,235.5
109.569,270.9
108.305,303.2
108.15,315.8
106.96,314.2
105.882,318.9
161.495,356.7
172.548,430.8
171.316,467
185.652,503.2
192.719,496.9
194.481,486.7
193.863,494.6
196.614,500.9
196.858,492.2
194.51,478.8
197.917,473.3
192.161,478
185.805,389.8
124.57,363.8
111.478,341
107.486,304
106.895,266.2
106.392,261.5
106.467,231.5
106.292,229.2
106.486,232.3
105.943,239.4
108.06,246.5
107.913,275.6
165.434,356.7
176.563,455.2
178.455,478.8
190.192,500.1
197.512,504
197.667,478.8
197.286,494.6
198.437,479.6
190.141,481.2
193.822,459.1
186.479,444.2
183.824,462.3
182.783,375.6
129.453,351.2
116.748,333.9
115.916,302.4
114.349,254.4
112.646,248.1
111.482,220.5
109.557,224.4
109.955,219.7
109.108,219.7
110.197,216.6
108.911,262.2
167.076,344.1
181.748,430
185.315,478
199.255,488.3
203.748,499.3
209.663,501.6
209.263,537.1
210.793,517.4
