tstamp,AC,tou_id,DC,weekDay,Sat,Sun,wrkHr,dayTime,Off-Peak,Peak,Standard
01-Jan-2022 00:00:00,96.855,1,52.2,0,1,0,0,0,1,0,0
01-Jan-2022 01:00:00,97.053,1,52,0,1,0,0,0,1,0,0
01-Jan-2022 02:00:00,97.229,1,52.2,0,1,0,0,0,1,0,0
01-Jan-2022 03:00:00,96.859,1,52.2,0,1,0,0,0,1,0,0
01-Jan-2022 04:00:00,98.018,1,52.2,0,1,0,0,0,1,0,0
01-Jan-2022 05:00:00,98.022,1,51.5,0,1,0,0,0,1,0,0
01-Jan-2022 06:00:00,150.602,1,50.9,0,1,0,0,0,1,0,0
01-Jan-2022 07:00:00,153.349,1,49,0,1,0,0,1,1,0,0
01-Jan-2022 08:00:00,156.523,1,49.3,0,1,0,0,1,1,0,0
01-Jan-2022 09:00:00,157.52,1,50.9,0,1,0,0,1,1,0,0
01-Jan-2022 10:00:00,157.249,1,50.4,0,1,0,0,1,1,0,0
01-Jan-2022 11:00:00,161.152,1,51.3,0,1,0,0,1,1,0,0
01-Jan-2022 12:00:00,156.056,1,52,0,1,0,0,1,1,0,0
01-Jan-2022 13:00:00,159.676,1,52.2,0,1,0,0,1,1,0,0
01-Jan-2022 14:00:00,159.678,1,50.6,0,1,0,0,1,1,0,0
01-Jan-2022 15:00:00,162.319,1,49.9,0,1,0,0,1,1,0,0
01-Jan-2022 16:00:00,166.376,1,49.3,0,1,0,0,1,1,0,0
01-Jan-2022 17:00:00,165.752,1,49.5,0,1,0,0,1,1,0,0
01-Jan-2022 18:00:00,162.305,1,49,0,1,0,0,1,1,0,0
01-Jan-2022 19:00:00,109.899,1,49.1,0,1,0,0,0,1,0,0
01-Jan-2022 20:00:00,99.846,1,49.5,0,1,0,0,0,1,0,0
01-Jan-2022 21:00:00,99.776,1,50.6,0,1,0,0,0,1,0,0
01-Jan-2022 22:00:00,98.999,1,49.1,0,1,0,0,0,1,0,0
01-Jan-2022 23:00:00,99.414,1,49.9,0,1,0,0,0,1,0,0
02-Jan-2022 00:00:00,98.824,1,49.5,0,0,1,0,0,1,0,0
02-Jan-2022 01:00:00,98.278,1,49.7,0,0,1,0,0,1,0,0
02-Jan-2022 02:00:00,98.829,1,50,0,0,1,0,0,1,0,0
02-Jan-2022 03:00:00,97.729,1,49.7,0,0,1,0,0,1,0,0
02-Jan-2022 04:00:00,97.881,1,49.7,0,0,1,0,0,1,0,0
02-Jan-2022 05:00:00,98.799,1,49.3,0,0,1,0,0,1,0,0
02-Jan-2022 06:00:00,95.899,1,56.7,0,0,1,0,0,1,0,0
02-Jan-2022 07:00:00,97.098,1,71.6,0,0,1,0,1,1,0,0
02-Jan-2022 08:00:00,97.083,1,70.2,0,0,1,0,1,1,0,0
02-Jan-2022 09:00:00,96.893,1,71.5,0,0,1,0,1,1,0,0
02-Jan-2022 10:00:00,97.518,1,75.2,0,0,1,0,1,1,0,0
02-Jan-2022 11:00:00,98.011,1,72.9,0,0,1,0,1,1,0,0
02-Jan-2022 12:00:00,97.676,1,71.3,0,0,1,0,1,1,0,0
02-Jan-2022 13:00:00,96.949,1,69.5,0,0,1,0,1,1,0,0
02-Jan-2022 14:00:00,97.615,1,68.6,0,0,1,0,1,1,0,0
02-Jan-2022 15:00:00,99.722,1,59.9,0,0,1,0,1,1,0,0
02-Jan-2022 16:00:00,98.033,1,46.8,0,0,1,0,1,1,0,0
02-Jan-2022 17:00:00,96.846,1,46.4,0,0,1,0,1,1,0,0
02-Jan-2022 18:00:00,96.487,1,47,0,0,1,0,1,1,0,0
02-Jan-2022 19:00:00,96.073,1,47,0,0,1,0,0,1,0,0
02-Jan-2022 20:00:00,96.626,1,47.3,0,0,1,0,0,1,0,0
02-Jan-2022 21:00:00,97.476,1,49.3,0,0,1,0,0,1,0,0
02-Jan-2022 22:00:00,96.728,1,49.3,0,0,1,0,0,1,0,0
02-Jan-2022 23:00:00,96.557,1,49.5,0,0,1,0,0,1,0,0
03-Jan-2022 00:00:00,98.068,1,49.7,1,0,0,0,0,1,0,0
03-Jan-2022 01:00:00,97.183,1,49.5,1,0,0,0,0,1,0,0
03-Jan-2022 02:00:00,97.526,1,49.5,1,0,0,0,0,1,0,0
03-Jan-2022 03:00:00,97.16,1,50.2,1,0,0,0,0,1,0,0
03-Jan-2022 04:00:00,96.841,1,50,1,0,0,0,0,1,0,0
03-Jan-2022 05:00:00,96.724,1,49.1,1,0,0,0,0,1,0,0
03-Jan-2022 06:00:00,152.633,2,52.7,1,0,0,0,0,0,0,1
